FSA,ProvinceTerritory,n_days,concentration
T0J,AB,92.0,36.0
T0J,AB,102.0,77.0
T0J,AB,112.0,7.5
T0J,AB,98.0,105.0
T0J,AB,62.0,40.0
T0J,AB,85.0,7.5
T0J,AB,99.0,7.5
T0J,AB,90.0,42.0
T0J,AB,92.0,59.0
T0J,AB,92.0,66.0
T0J,AB,97.0,71.0
T0J,AB,96.0,85.0
T0J,AB,97.0,145.0
T0J,AB,45.0,178.0
T0J,AB,97.0,57.0
T0J,AB,95.0,162.0
T0J,AB,92.0,55.0
*,AB,92.0,19.0
T0L,AB,107.0,37.0
T1L,AB,91.0,7.5
T1L,AB,94.0,15.0
T1L,AB,102.0,22.0
T1L,AB,115.0,24.0
T0M,AB,92.0,92.0
*,AB,95.0,37.0
*,AB,107.0,20.0
*,AB,92.0,75.0
T2J,AB,106.0,57.0
T2J,AB,92.0,70.0
T2J,AB,91.0,99.0
T2J,AB,93.0,37.0
*,AB,91.0,89.0
*,AB,102.0,26.0
*,AB,91.0,66.0
*,AB,92.0,135.0
*,AB,93.0,44.0
T3C,AB,92.0,30.0
T3C,AB,90.0,109.0
T3G,AB,99.0,31.0
T3G,AB,100.0,65.0
T3H,AB,91.0,7.5
T3H,AB,91.0,71.0
T3J,AB,107.0,31.0
T3J,AB,85.0,82.0
T3K,AB,90.0,32.0
T3K,AB,90.0,41.0
T3K,AB,92.0,316.0
*,AB,92.0,118.0
T1W,AB,91.0,7.5
T1W,AB,95.0,7.5
T1W,AB,95.0,19.0
T1W,AB,97.0,19.0
T1W,AB,91.0,117.0
T1W,AB,92.0,143.0
T1W,AB,101.0,257.0
T1W,AB,93.0,257.0
T0L,AB,90.0,113.0
T0L,AB,90.0,28.0
T0L,AB,148.0,19.0
T0L,AB,91.0,23.0
T0L,AB,91.0,32.0
T0L,AB,92.0,34.0
T0L,AB,92.0,53.0
T0L,AB,91.0,63.0
T0L,AB,91.0,88.0
T0L,AB,91.0,97.0
T0L,AB,91.0,98.0
T0L,AB,90.0,108.0
T0J,AB,92.0,29.0
T0J,AB,93.0,128.0
T0M,AB,96.0,130.0
T0M,AB,73.0,312.0
T0L,AB,91.0,141.0
T0L,AB,92.0,69.0
T0L,AB,91.0,40.0
T0L,AB,91.0,28.0
T0L,AB,92.0,36.0
T0L,AB,110.0,46.0
T0L,AB,93.0,59.0
T0L,AB,91.0,70.0
T0L,AB,91.0,192.0
*,AB,95.0,65.0
T0J,AB,93.0,31.0
T0J,AB,94.0,37.0
T0J,AB,91.0,123.0
T0J,AB,92.0,100.0
T0J,AB,93.0,164.0
T0J,AB,90.0,173.0
T0J,AB,97.0,270.0
T0L,AB,113.0,69.0
T0L,AB,98.0,71.0
T1P,AB,98.0,28.0
T1P,AB,101.0,7.5
T1P,AB,88.0,47.0
T1P,AB,90.0,92.0
T1P,AB,91.0,95.0
T1P,AB,92.0,161.0
T1P,AB,91.0,175.0
T0L,AB,104.0,23.0
T0L,AB,137.0,34.0
T0L,AB,90.0,101.0
T0L,AB,102.0,222.0
T0L,AB,97.0,367.0
T0M,AB,91.0,22.0
T0M,AB,91.0,184.0
T0C,AB,97.0,126.0
T0M,AB,91.0,33.0
T0C,AB,91.0,20.0
T4S,AB,95.0,161.0
T0M,AB,92.0,98.0
T0C,AB,92.0,39.0
T0J,AB,92.0,31.0
T0M,AB,91.0,7.5
T0M,AB,91.0,7.5
T0M,AB,91.0,570.0
T0C,AB,99.0,131.0
T0C,AB,97.0,51.0
T0C,AB,94.0,98.0
*,AB,91.0,154.0
T0J,AB,92.0,69.0
T0J,AB,91.0,109.0
T0J,AB,91.0,158.0
T0M,AB,120.0,25.0
T0C,AB,109.0,25.0
T0J,AB,97.0,7.5
T0J,AB,61.0,21.0
T0J,AB,91.0,22.0
T0J,AB,97.0,42.0
T0J,AB,92.0,91.0
T0J,AB,128.0,166.0
T0J,AB,90.0,166.0
T0J,AB,91.0,195.0
T0J,AB,93.0,196.0
T0J,AB,93.0,397.0
T4G,AB,92.0,42.0
T4G,AB,91.0,55.0
T4G,AB,91.0,75.0
T4G,AB,97.0,110.0
T4G,AB,114.0,127.0
T4G,AB,91.0,171.0
T4L,AB,99.0,58.0
T4L,AB,100.0,83.0
T4L,AB,94.0,89.0
T4L,AB,101.0,91.0
T0M,AB,94.0,210.0
T0M,AB,94.0,517.0
T0M,AB,92.0,7.5
T0M,AB,91.0,65.0
T0M,AB,105.0,76.0
T0J,AB,92.0,64.0
T0J,AB,101.0,119.0
T0M,AB,91.0,129.0
T4J,AB,91.0,7.5
T4J,AB,96.0,64.0
T4J,AB,91.0,65.0
T4N,AB,94.0,22.0
T4N,AB,96.0,28.0
T4N,AB,92.0,157.0
T4N,AB,95.0,173.0
T4P,AB,95.0,19.0
T4P,AB,95.0,37.0
T4P,AB,92.0,59.0
T4P,AB,92.0,84.0
T4P,AB,91.0,105.0
T4P,AB,114.0,108.0
T4R,AB,91.0,29.0
T4R,AB,91.0,34.0
T4R,AB,97.0,68.0
T4R,AB,91.0,71.0
T4R,AB,91.0,84.0
T4R,AB,92.0,84.0
T4S,AB,104.0,106.0
T0C,AB,97.0,74.0
T0C,AB,97.0,221.0
T0C,AB,98.0,389.0
T4T,AB,95.0,16.0
T4T,AB,90.0,18.0
T4T,AB,90.0,20.0
T4T,AB,91.0,29.0
T4T,AB,91.0,30.0
T4T,AB,92.0,33.0
T4T,AB,93.0,34.0
T4T,AB,90.0,39.0
T4T,AB,99.0,46.0
T4T,AB,91.0,62.0
T4T,AB,93.0,69.0
T4T,AB,91.0,74.0
T4T,AB,91.0,97.0
T4T,AB,100.0,99.0
T4T,AB,91.0,108.0
T4T,AB,91.0,124.0
T4T,AB,94.0,129.0
T4T,AB,102.0,159.0
T4T,AB,95.0,161.0
T0C,AB,98.0,31.0
T0C,AB,93.0,32.0
T0C,AB,98.0,34.0
T0C,AB,147.0,76.0
T0C,AB,92.0,109.0
T0C,AB,90.0,137.0
T0C,AB,93.0,154.0
T0M,AB,91.0,120.0
T0M,AB,102.0,134.0
T4S,AB,94.0,122.0
T4S,AB,91.0,156.0
T4S,AB,94.0,204.0
T0M,AB,91.0,62.0
T0M,AB,93.0,212.0
T0C,AB,94.0,71.0
*,AB,97.0,31.0
T0B,AB,102.0,32.0
T0B,AB,91.0,33.0
T0B,AB,94.0,34.0
T0B,AB,103.0,168.0
T0B,AB,90.0,581.0
T0B,AB,154.0,51.0
T4V,AB,102.0,35.0
T4V,AB,92.0,68.0
T4V,AB,92.0,70.0
T4V,AB,97.0,76.0
T4V,AB,91.0,92.0
T4V,AB,95.0,93.0
T4V,AB,90.0,100.0
T4V,AB,91.0,118.0
T4V,AB,90.0,133.0
T4V,AB,93.0,136.0
T4V,AB,98.0,144.0
T4V,AB,95.0,147.0
T4V,AB,188.0,149.0
T4V,AB,93.0,237.0
T4V,AB,93.0,246.0
T0B,AB,91.0,88.0
T0B,AB,92.0,21.0
T0B,AB,91.0,52.0
T0B,AB,92.0,76.0
T0B,AB,91.0,23.0
T0B,AB,92.0,35.0
T0B,AB,99.0,71.0
T0B,AB,129.0,80.0
T0B,AB,98.0,37.0
T0B,AB,118.0,40.0
T0B,AB,92.0,52.0
T0B,AB,97.0,93.0
T0B,AB,91.0,95.0
T0B,AB,94.0,91.0
T0B,AB,91.0,71.0
T0B,AB,93.0,243.0
T0B,AB,91.0,118.0
T0B,AB,92.0,129.0
T0B,AB,94.0,165.0
T0B,AB,92.0,54.0
T0B,AB,92.0,110.0
T0B,AB,98.0,41.0
T0B,AB,226.0,53.0
T0B,AB,103.0,91.0
T0B,AB,98.0,98.0
T0B,AB,90.0,92.0
T0B,AB,95.0,151.0
T0B,AB,90.0,21.0
T0B,AB,95.0,163.0
T9V,AB,100.0,17.0
T9V,AB,93.0,20.0
T9V,AB,94.0,30.0
T9V,AB,96.0,58.0
T9V,AB,99.0,83.0
T9V,AB,90.0,87.0
T9V,AB,92.0,118.0
T9V,AB,95.0,146.0
T9V,AB,102.0,174.0
T9V,AB,109.0,192.0
T0B,AB,91.0,142.0
T0B,AB,91.0,35.0
T0B,AB,93.0,91.0
T0B,AB,92.0,127.0
T0B,AB,91.0,153.0
T0B,AB,90.0,109.0
T0B,AB,90.0,82.0
T0B,AB,92.0,36.0
T0B,AB,91.0,28.0
T0B,AB,93.0,35.0
T0B,AB,117.0,79.0
T0B,AB,86.0,175.0
T0B,AB,91.0,24.0
T0B,AB,92.0,30.0
T0B,AB,94.0,80.0
T0B,AB,92.0,96.0
T0B,AB,91.0,170.0
T0B,AB,98.0,83.0
T0B,AB,91.0,7.5
T0B,AB,102.0,55.0
T0B,AB,99.0,62.0
T0B,AB,102.0,49.0
T0B,AB,92.0,159.0
T0B,AB,92.0,52.0
T9C,AB,91.0,40.0
T9C,AB,91.0,58.0
T9C,AB,91.0,123.0
T9C,AB,93.0,131.0
T9C,AB,99.0,146.0
T9X,AB,91.0,71.0
T9X,AB,91.0,100.0
T0B,AB,112.0,81.0
T9W,AB,91.0,53.0
T9W,AB,90.0,84.0
T9W,AB,102.0,133.0
T9W,AB,100.0,170.0
T9W,AB,93.0,859.0
T8E,AB,102.0,56.0
T8E,AB,91.0,71.0
T0E,AB,99.0,115.0
T0E,AB,93.0,121.0
T5A,AB,92.0,30.0
T5A,AB,92.0,64.0
T5A,AB,149.0,127.0
T5E,AB,91.0,91.0
T5E,AB,103.0,132.0
*,AB,95.0,59.0
T5M,AB,100.0,31.0
T5M,AB,92.0,72.0
T5M,AB,99.0,98.0
T5N,AB,98.0,74.0
T5N,AB,91.0,118.0
*,AB,92.0,29.0
T5T,AB,92.0,36.0
T5T,AB,115.0,56.0
T5T,AB,91.0,82.0
*,AB,164.0,128.0
T5X,AB,92.0,25.0
T5X,AB,91.0,43.0
T5Y,AB,93.0,19.0
T5Y,AB,92.0,92.0
*,AB,94.0,44.0
*,AB,102.0,67.0
*,AB,94.0,32.0
T6H,AB,90.0,38.0
T6H,AB,92.0,190.0
T6J,AB,91.0,37.0
T6J,AB,117.0,51.0
T6J,AB,97.0,108.0
*,AB,91.0,142.0
T6L,AB,91.0,103.0
T6L,AB,90.0,187.0
*,AB,95.0,103.0
T6R,AB,93.0,61.0
T6R,AB,99.0,81.0
T6R,AB,149.0,97.0
*,AB,100.0,57.0
T6W,AB,92.0,51.0
T6W,AB,108.0,165.0
*,AB,91.0,69.0
T0E,AB,91.0,26.0
T0E,AB,96.0,148.0
T8L,AB,93.0,42.0
T8L,AB,92.0,44.0
T8L,AB,93.0,81.0
T8L,AB,94.0,102.0
T8R,AB,91.0,29.0
T8R,AB,146.0,37.0
T0A,AB,91.0,29.0
T0A,AB,91.0,98.0
T8A,AB,90.0,16.0
T8A,AB,92.0,44.0
T8A,AB,100.0,102.0
T8A,AB,94.0,108.0
T8A,AB,95.0,123.0
*,AB,94.0,81.0
*,AB,91.0,109.0
T7X,AB,91.0,94.0
T7X,AB,99.0,137.0
*,AB,106.0,25.0
T8N,AB,93.0,82.0
T8N,AB,91.0,85.0
T8N,AB,103.0,89.0
T8N,AB,91.0,92.0
T8N,AB,91.0,119.0
T8N,AB,91.0,170.0
*,AB,91.0,99.0
T0C,AB,94.0,358.0
T0E,AB,105.0,27.0
T0E,AB,92.0,88.0
T0E,AB,101.0,232.0
T0A,AB,91.0,90.0
T0A,AB,99.0,142.0
T9S,AB,111.0,33.0
T9S,AB,92.0,38.0
T9S,AB,91.0,54.0
T9S,AB,95.0,148.0
T9S,AB,95.0,161.0
T9S,AB,92.0,163.0
T9S,AB,106.0,202.0
T7N,AB,92.0,18.0
T7N,AB,102.0,65.0
T7N,AB,91.0,76.0
T7N,AB,91.0,102.0
T7N,AB,91.0,167.0
T7N,AB,90.0,198.0
T9N,AB,99.0,22.0
T9N,AB,94.0,31.0
T9N,AB,92.0,80.0
T9N,AB,95.0,90.0
T9N,AB,113.0,95.0
T9N,AB,93.0,99.0
T9N,AB,91.0,115.0
T9N,AB,91.0,139.0
T9N,AB,94.0,180.0
T9N,AB,156.0,193.0
T0A,AB,99.0,7.5
T0A,AB,91.0,29.0
T0A,AB,97.0,53.0
T0A,AB,99.0,54.0
T0A,AB,104.0,103.0
T0E,AB,108.0,15.0
T0G,AB,115.0,49.0
T0G,AB,108.0,99.0
T0G,AB,91.0,245.0
T0G,AB,91.0,15.0
T0E,AB,93.0,111.0
T0E,AB,93.0,159.0
T0A,AB,99.0,167.0
T0E,AB,91.0,113.0
T0A,AB,108.0,52.0
T0A,AB,91.0,191.0
T0G,AB,99.0,7.5
T0G,AB,92.0,61.0
T9M,AB,106.0,7.5
T9M,AB,91.0,7.5
T9M,AB,91.0,22.0
T9M,AB,91.0,33.0
T9M,AB,91.0,38.0
T9M,AB,91.0,41.0
T9M,AB,93.0,44.0
T9M,AB,91.0,62.0
T9M,AB,93.0,65.0
T9M,AB,91.0,70.0
T9M,AB,92.0,70.0
T9M,AB,93.0,70.0
T9M,AB,94.0,72.0
T9M,AB,92.0,73.0
T9M,AB,110.0,84.0
T9M,AB,96.0,105.0
T9M,AB,107.0,129.0
T9M,AB,92.0,141.0
T9M,AB,97.0,158.0
T9M,AB,96.0,193.0
T0G,AB,92.0,72.0
T0E,AB,92.0,124.0
T7E,AB,106.0,7.5
T7E,AB,91.0,7.5
T7E,AB,92.0,21.0
T7E,AB,91.0,30.0
T7E,AB,102.0,32.0
T7E,AB,91.0,33.0
T7E,AB,91.0,36.0
T7E,AB,90.0,38.0
T7E,AB,90.0,44.0
T7E,AB,98.0,56.0
T7E,AB,100.0,57.0
T7E,AB,95.0,73.0
T7E,AB,92.0,107.0
T7E,AB,91.0,109.0
T7E,AB,80.0,161.0
T7E,AB,91.0,168.0
T7E,AB,119.0,191.0
T7E,AB,91.0,206.0
T7E,AB,93.0,282.0
T7E,AB,93.0,302.0
T7E,AB,121.0,344.0
T0A,AB,91.0,44.0
T0A,AB,91.0,102.0
T0A,AB,92.0,106.0
T0A,AB,90.0,190.0
T0G,AB,103.0,22.0
T0G,AB,91.0,170.0
T0G,AB,93.0,238.0
T0A,AB,97.0,18.0
T0A,AB,98.0,30.0
T0E,AB,93.0,42.0
T7V,AB,96.0,7.5
T7V,AB,91.0,7.5
T7V,AB,99.0,7.5
T7V,AB,93.0,7.5
T7V,AB,93.0,7.5
T7V,AB,91.0,7.5
T7V,AB,456.0,7.5
T7V,AB,92.0,21.0
T7V,AB,96.0,23.0
T7V,AB,95.0,27.0
T7V,AB,102.0,29.0
T7V,AB,127.0,30.0
T7V,AB,93.0,30.0
T7V,AB,91.0,33.0
T7V,AB,97.0,34.0
T7V,AB,91.0,35.0
T7V,AB,93.0,37.0
T7V,AB,94.0,66.0
T7V,AB,107.0,69.0
T7V,AB,91.0,99.0
T7V,AB,91.0,100.0
T7V,AB,91.0,117.0
T7V,AB,91.0,131.0
T7V,AB,91.0,187.0
T7V,AB,91.0,826.0
T0A,AB,92.0,27.0
T9S,AB,91.0,125.0
T0G,AB,94.0,104.0
T0E,AB,95.0,18.0
T0E,AB,95.0,20.0
T0E,AB,92.0,36.0
T0E,AB,90.0,62.0
T0E,AB,91.0,72.0
T0E,AB,90.0,221.0
T0E,AB,90.0,231.0
T0A,AB,90.0,27.0
T0A,AB,92.0,39.0
T0A,AB,88.0,40.0
T0A,AB,90.0,70.0
T0A,AB,100.0,80.0
T0A,AB,92.0,106.0
T0A,AB,126.0,164.0
T0A,AB,61.0,183.0
T0A,AB,87.0,189.0
T0A,AB,93.0,165.0
T0E,AB,95.0,25.0
T0E,AB,92.0,41.0
T0E,AB,91.0,41.0
T0G,AB,91.0,116.0
T0A,AB,93.0,31.0
T0E,AB,92.0,29.0
T0E,AB,93.0,33.0
T0E,AB,97.0,50.0
T0E,AB,91.0,61.0
T0E,AB,92.0,26.0
T0E,AB,91.0,40.0
T0E,AB,90.0,42.0
T0E,AB,100.0,66.0
T0E,AB,94.0,123.0
T0E,AB,92.0,135.0
T0E,AB,96.0,151.0
T0E,AB,91.0,220.0
T0E,AB,92.0,236.0
T0E,AB,74.0,244.0
T0E,AB,93.0,82.0
T0E,AB,91.0,155.0
T0E,AB,92.0,280.0
T0G,AB,93.0,21.0
T0G,AB,91.0,104.0
T0A,AB,91.0,46.0
T0A,AB,93.0,201.0
T0G,AB,91.0,16.0
T0G,AB,95.0,22.0
T0G,AB,91.0,170.0
T0E,AB,92.0,247.0
T0G,AB,98.0,17.0
T0G,AB,91.0,23.0
T0G,AB,91.0,41.0
T0G,AB,91.0,93.0
T0G,AB,96.0,132.0
T0G,AB,92.0,151.0
T0G,AB,92.0,193.0
T0G,AB,137.0,552.0
T0G,AB,75.0,33.0
T0G,AB,93.0,126.0
T0A,AB,97.0,80.0
T0A,AB,91.0,84.0
T0A,AB,98.0,89.0
T0A,AB,109.0,198.0
T0A,AB,89.0,23.0
T0A,AB,90.0,25.0
T0A,AB,91.0,29.0
T0A,AB,91.0,44.0
T0A,AB,92.0,76.0
T0A,AB,91.0,114.0
T0A,AB,91.0,143.0
T0A,AB,94.0,172.0
T0A,AB,95.0,247.0
T0G,AB,94.0,87.0
T0G,AB,101.0,96.0
T0G,AB,91.0,97.0
T0A,AB,118.0,76.0
T0A,AB,91.0,168.0
T0A,AB,91.0,35.0
T0A,AB,91.0,56.0
T0A,AB,91.0,231.0
T7P,AB,91.0,27.0
T7P,AB,91.0,31.0
T7P,AB,89.0,34.0
T7P,AB,92.0,38.0
T7P,AB,91.0,60.0
T7P,AB,112.0,77.0
T7P,AB,91.0,155.0
T7P,AB,116.0,166.0
T7S,AB,92.0,7.5
T7S,AB,91.0,62.0
T7S,AB,92.0,63.0
T7S,AB,96.0,107.0
T7S,AB,118.0,127.0
T7S,AB,92.0,174.0
T7S,AB,93.0,206.0
T0G,AB,91.0,27.0
T0H,AB,92.0,101.0
T0H,AB,91.0,21.0
T0H,AB,91.0,34.0
T0H,AB,97.0,71.0
T0H,AB,94.0,193.0
T0H,AB,97.0,77.0
T0H,AB,92.0,64.0
T0H,AB,91.0,88.0
T0H,AB,93.0,57.0
T0H,AB,91.0,77.0
T0H,AB,91.0,87.0
T0H,AB,91.0,35.0
T0H,AB,93.0,67.0
T0H,AB,92.0,94.0
T0H,AB,92.0,132.0
T0H,AB,132.0,140.0
T0H,AB,104.0,159.0
T0H,AB,92.0,188.0
T0H,AB,91.0,362.0
T0H,AB,92.0,62.0
T0H,AB,130.0,66.0
T0H,AB,91.0,189.0
T0H,AB,95.0,107.0
T0G,AB,93.0,100.0
T0H,AB,90.0,126.0
T0H,AB,94.0,31.0
T0H,AB,91.0,32.0
T0H,AB,91.0,44.0
T0H,AB,92.0,120.0
T0H,AB,95.0,121.0
T0H,AB,93.0,216.0
T0H,AB,98.0,24.0
T0H,AB,184.0,52.0
T0H,AB,140.0,83.0
T0H,AB,97.0,314.0
T0G,AB,104.0,153.0
T0H,AB,96.0,7.5
T0H,AB,104.0,19.0
T0H,AB,95.0,20.0
T0H,AB,92.0,30.0
T0H,AB,91.0,33.0
T0H,AB,86.0,37.0
T0H,AB,100.0,69.0
T0H,AB,92.0,98.0
T0H,AB,91.0,105.0
T0H,AB,103.0,128.0
T0E,AB,93.0,7.5
T0E,AB,93.0,17.0
T0E,AB,93.0,24.0
T0E,AB,99.0,26.0
T0E,AB,92.0,28.0
T0E,AB,91.0,31.0
T0E,AB,91.0,31.0
T0E,AB,90.0,31.0
T0E,AB,98.0,35.0
T0E,AB,95.0,38.0
T0E,AB,104.0,65.0
T0E,AB,91.0,65.0
T0E,AB,92.0,67.0
T0E,AB,90.0,78.0
T0E,AB,96.0,85.0
T0E,AB,96.0,223.0
T8V,AB,92.0,7.5
T8V,AB,127.0,25.0
T8V,AB,91.0,27.0
T8V,AB,94.0,31.0
T8V,AB,91.0,34.0
T8V,AB,93.0,37.0
T8V,AB,95.0,46.0
T8V,AB,115.0,53.0
T8V,AB,124.0,58.0
T8V,AB,91.0,63.0
T8V,AB,61.0,66.0
T8V,AB,95.0,68.0
T8V,AB,91.0,73.0
T8V,AB,98.0,74.0
T8V,AB,91.0,75.0
T8V,AB,117.0,76.0
T8V,AB,91.0,85.0
T8V,AB,90.0,91.0
T8V,AB,92.0,93.0
T8V,AB,90.0,94.0
T8V,AB,96.0,95.0
T8V,AB,109.0,103.0
T8V,AB,93.0,112.0
T8V,AB,161.0,119.0
T8V,AB,91.0,135.0
T8V,AB,92.0,149.0
T8V,AB,116.0,160.0
T8V,AB,159.0,208.0
T8V,AB,91.0,253.0
T8W,AB,92.0,22.0
T8W,AB,92.0,25.0
T8W,AB,91.0,29.0
T8W,AB,92.0,39.0
T8W,AB,91.0,40.0
T8W,AB,183.0,50.0
T8W,AB,116.0,58.0
T8W,AB,103.0,59.0
T8W,AB,91.0,68.0
T8W,AB,91.0,78.0
T8W,AB,95.0,80.0
T8W,AB,102.0,89.0
T8W,AB,91.0,90.0
T8W,AB,97.0,103.0
T8W,AB,126.0,128.0
T8W,AB,91.0,247.0
T8X,AB,95.0,7.5
T8X,AB,91.0,20.0
T8X,AB,93.0,35.0
T8X,AB,102.0,52.0
T8X,AB,92.0,55.0
T8X,AB,92.0,115.0
T8X,AB,99.0,122.0
T8X,AB,127.0,130.0
T0H,AB,91.0,85.0
T0H,AB,92.0,86.0
T0H,AB,92.0,108.0
T0H,AB,93.0,112.0
T0H,AB,92.0,185.0
T0H,AB,110.0,191.0
T0H,AB,108.0,27.0
T0G,AB,91.0,34.0
T0G,AB,100.0,72.0
T0G,AB,92.0,78.0
T0G,AB,91.0,87.0
T0G,AB,91.0,125.0
T0G,AB,89.0,157.0
T0G,AB,109.0,177.0
T0G,AB,105.0,196.0
T0G,AB,90.0,196.0
T0G,AB,97.0,338.0
T0G,AB,98.0,443.0
T0G,AB,92.0,686.0
T0G,AB,134.0,1391.0
T0H,AB,117.0,48.0
T0H,AB,181.0,112.0
T0G,AB,91.0,33.0
T0H,AB,99.0,56.0
T0H,AB,95.0,32.0
T0H,AB,94.0,112.0
T0H,AB,96.0,133.0
T0H,AB,120.0,353.0
T0H,AB,90.0,63.0
T0H,AB,95.0,82.0
T0H,AB,104.0,101.0
T0H,AB,90.0,117.0
T0H,AB,98.0,169.0
T0H,AB,93.0,38.0
T0H,AB,103.0,42.0
T0H,AB,94.0,71.0
T0H,AB,91.0,95.0
T0H,AB,91.0,133.0
T0H,AB,91.0,386.0
T8S,AB,99.0,23.0
T8S,AB,115.0,82.0
T8S,AB,90.0,102.0
T8S,AB,92.0,110.0
T8S,AB,91.0,169.0
T8S,AB,101.0,286.0
T8S,AB,92.0,393.0
T0H,AB,97.0,49.0
T0H,AB,95.0,19.0
T0H,AB,120.0,22.0
T0H,AB,92.0,36.0
T0H,AB,91.0,44.0
T0H,AB,91.0,71.0
T0H,AB,91.0,72.0
T0H,AB,88.0,34.0
T0H,AB,94.0,35.0
T0H,AB,91.0,41.0
T0H,AB,116.0,51.0
T0H,AB,91.0,82.0
T0H,AB,114.0,104.0
T0H,AB,91.0,127.0
T0H,AB,92.0,27.0
T0H,AB,92.0,53.0
T0H,AB,98.0,7.5
T0H,AB,92.0,7.5
T0H,AB,90.0,7.5
T0H,AB,93.0,18.0
T0H,AB,91.0,19.0
T0H,AB,96.0,20.0
T0H,AB,90.0,24.0
T0H,AB,91.0,30.0
T0H,AB,94.0,35.0
T0H,AB,92.0,36.0
T0H,AB,91.0,38.0
T0H,AB,118.0,63.0
T0H,AB,99.0,65.0
T0H,AB,126.0,82.0
T0H,AB,90.0,85.0
T0H,AB,91.0,121.0
T0H,AB,91.0,135.0
T0H,AB,95.0,195.0
T0H,AB,107.0,219.0
T0H,AB,92.0,366.0
T0H,AB,91.0,28.0
T0H,AB,92.0,29.0
T0H,AB,93.0,33.0
T0H,AB,96.0,69.0
T0H,AB,90.0,129.0
T0H,AB,137.0,212.0
T0P,AB,100.0,7.5
T0P,AB,93.0,15.0
T0P,AB,96.0,65.0
T0P,AB,96.0,7.5
T0P,AB,92.0,22.0
T0P,AB,91.0,22.0
T0P,AB,81.0,26.0
T9H,AB,108.0,18.0
T9H,AB,85.0,7.5
T9H,AB,91.0,7.5
T9H,AB,94.0,7.5
T9H,AB,91.0,20.0
T9H,AB,94.0,25.0
T9H,AB,93.0,26.0
T9H,AB,132.0,26.0
T9H,AB,124.0,27.0
T9H,AB,90.0,31.0
T9H,AB,93.0,31.0
T9H,AB,98.0,32.0
T9H,AB,93.0,38.0
T9H,AB,91.0,39.0
T9H,AB,81.0,43.0
T9H,AB,172.0,45.0
T9H,AB,96.0,56.0
T9H,AB,93.0,60.0
T9H,AB,97.0,71.0
T9H,AB,92.0,73.0
T9H,AB,100.0,75.0
T9H,AB,95.0,78.0
T9H,AB,100.0,86.0
T9H,AB,131.0,86.0
T9H,AB,91.0,87.0
T9H,AB,102.0,103.0
T9H,AB,92.0,104.0
T9H,AB,91.0,147.0
T9H,AB,103.0,168.0
T9J,AB,94.0,28.0
T9J,AB,119.0,32.0
T9J,AB,108.0,81.0
T9K,AB,107.0,7.5
T9K,AB,91.0,7.5
T9K,AB,87.0,7.5
T9K,AB,93.0,7.5
T9K,AB,110.0,7.5
T9K,AB,90.0,7.5
T9K,AB,95.0,18.0
T9K,AB,92.0,18.0
T9K,AB,63.0,19.0
T9K,AB,87.0,20.0
T9K,AB,83.0,20.0
T9K,AB,111.0,20.0
T9K,AB,94.0,21.0
T9K,AB,92.0,22.0
T9K,AB,61.0,25.0
T9K,AB,91.0,27.0
T9K,AB,91.0,27.0
T9K,AB,93.0,29.0
T9K,AB,99.0,29.0
T9K,AB,92.0,29.0
T9K,AB,90.0,29.0
T9K,AB,98.0,30.0
T9K,AB,95.0,32.0
T9K,AB,94.0,33.0
T9K,AB,91.0,38.0
T9K,AB,91.0,38.0
T9K,AB,97.0,40.0
T9K,AB,139.0,41.0
T9K,AB,95.0,55.0
T9K,AB,96.0,57.0
T9K,AB,104.0,59.0
T9K,AB,90.0,60.0
T9K,AB,149.0,69.0
T9K,AB,91.0,70.0
T9K,AB,92.0,73.0
T9K,AB,92.0,75.0
T9K,AB,100.0,78.0
T9K,AB,114.0,81.0
T9K,AB,91.0,86.0
T9K,AB,91.0,108.0
T9K,AB,99.0,151.0
T0H,AB,122.0,23.0
T0H,AB,100.0,54.0
T0H,AB,100.0,55.0
T0H,AB,92.0,63.0
T0H,AB,90.0,69.0
T0H,AB,123.0,91.0
T0H,AB,92.0,114.0
T0H,AB,101.0,115.0
T0H,AB,98.0,133.0
T0H,AB,93.0,145.0
T0H,AB,92.0,158.0
T0H,AB,94.0,159.0
T0H,AB,95.0,212.0
T0H,AB,89.0,7.5
T0H,AB,93.0,18.0
T0H,AB,112.0,20.0
T0H,AB,98.0,21.0
T0H,AB,90.0,21.0
T0H,AB,91.0,23.0
T0H,AB,111.0,25.0
T0H,AB,90.0,31.0
T0H,AB,96.0,32.0
T0H,AB,94.0,37.0
T0H,AB,93.0,37.0
T0H,AB,103.0,38.0
T0H,AB,91.0,56.0
T0H,AB,155.0,61.0
T0H,AB,97.0,69.0
T0H,AB,91.0,73.0
T0H,AB,104.0,76.0
T0H,AB,97.0,77.0
T0H,AB,95.0,79.0
T0H,AB,100.0,87.0
T0H,AB,92.0,91.0
T0H,AB,96.0,93.0
T0H,AB,105.0,98.0
T0H,AB,90.0,107.0
T0H,AB,91.0,113.0
T0H,AB,90.0,113.0
T0H,AB,91.0,119.0
T0H,AB,91.0,124.0
T0H,AB,91.0,124.0
T0H,AB,92.0,128.0
T0H,AB,92.0,129.0
T0H,AB,124.0,140.0
T0H,AB,91.0,151.0
T0H,AB,101.0,153.0
T0H,AB,103.0,177.0
T0H,AB,90.0,7.5
T0H,AB,90.0,27.0
T0H,AB,100.0,28.0
T0H,AB,102.0,29.0
T0H,AB,84.0,30.0
